depth,temp,salinity,nitraite
9.4,6.874,32.09,5.05
0.1,5.567,27.14,15.6
11.5,6.485,32.23,4.99
0.1,5.695,30.92,6.03
4.3,5.899,31.31,5.09
0.1,5.847,31.27,5.22
9.4,5.689,31.09,4.54
0.1,4.177,27.42,9.36
5.4,4.874,31.83,1.69
0.1,4.892,31.83,1.42
5.9,5.699,32.23,3.76
0.1,5.718,32.24,3.94
11.7,6.292,32.35,4.08
0.1,6.29,32.36,4.28
8,6.449,32.29,3.97
0.1,6.408,32.3,4.185
5.7,6.19,32.11,4.37
0.1,5.703,31.49,5.34
9.7,6.8,31.93,5.05
0.1,5.649,28.8,10.6
11.4,6.711,32.16,4.31
0.1,5.823,29.96,7.9
4.5,6.599,31.94,4.46
0.1,6.035,31.45,4.87
10.5,5.668,31.25,4.55
0.1,5.625,29.63,14.2
6.3,5.781,32.14,3.44
0.1,5.767,32.14,4.35
6.6,6.18,32.37,0.0278
0.1,6.168,32.36,0.0343
12.5,6.515,32.5,0.025
0.1,6.614,32.51,4.47
8.4,6.528,32.35,4.09
0.1,6.484,32.31,4.19
9.5,6.902,32.44,4.2
0.1,6.368,32.01,4.89
8.8,8.083,32.17,7.46
0.1,8.229,31.13,9.58
10.5,7.616,32.38,6.55
0.1,7.422,31.12,8.31
4.1,7.489,32.16,6.68
0.1,7.14,31.88,6.88
8.8,7.218,31.87,6.97
0.1,6.534,30.65,8.13
5.9,6.778,32.25,6.78
0.1,5.864,31.93,6.27
6.2,6.414,32.19,6.23
0.1,6.389,32.19,6.555
11,7.48,32.51,6.53
0.1,7.491,32.51,6.77
9.1,7.362,32.47,6.36
0.1,7.306,32.44,6.42
8.1,7.539,32.41,6.72
0.1,7.094,32.11,6.93
7.89,11.997,31.02,5.82
0.1,12.217,23.95,13.5
9.93,11.997,31.31,5.23
0.1,12.174,29.17,7.935
2.51,11.774,30.39,5.8
0.1,11.735,29.93,5.98
6.92,11.732,30.22,6.07
0.1,11.006,24.72,11.2
3.81,11.719,31.39,4.95
0.1,11.436,31.16,5.02
2.79,11.364,31.15,4.72
0.1,11.242,31.05,4.88
11.04,12.016,31.73,4.79
0.1,11.736,31.31,5
5.79,11.987,31.29,5.15
0.1,11.936,31.1,5.22
6.63,11.761,29.95,6.49
0.1,11.78,29.79,6.97
9.68,13.083,30.98,4.9
0.2,13.115,25.56,13.1
12.09,13.042,31.11,4.55
0.23,12.442,23.69,13.6
5.15,12.986,30.8,4.69
